entry,entry_name,gene_names,nucleus,cytoplasm,mitochondrion,plasma_membrane,endoplasmic_reticulum,golgi_apparatus,vacuole,zones
P15705,STI1_YEAST,STI1 YOR027W OR26.17,0,1,0,0,0,0,0,cytoplasm
P15731,UBC4_YEAST,UBC4 YBR082C YBR0745,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P15732,UBC5_YEAST,UBC5 YDR059C D4234 YD9609.13C,1,0,0,0,0,0,0,nucleus
P15790,CSK21_YEAST,CKA1 YIL035C,1,0,0,0,0,0,0,nucleus
P15801,DPOG_YEAST,MIP1 YOR330C,0,0,1,0,0,0,0,mitochondrion
P15807,MET8_YEAST,MET8 YBR213W YBR1461,0,0,0,0,0,0,0,
P15873,PCNA_YEAST,POL30 YBR088C YBR0811,1,0,0,0,0,0,0,nucleus
P15891,ABP1_YEAST,ABP1 YCR088W YCR88W,0,1,0,0,0,0,0,cytoplasm
P15938,PRP16_YEAST,PRP16 YKR086W YKR406,0,0,0,0,0,0,0,
P15992,HSP26_YEAST,HSP26 YBR072W YBR0714,1,1,1,0,0,0,0,"nucleus,cytoplasm,mitochondrion"
P16120,THRC_YEAST,THR4 YCR053W YCR53W,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P16140,VATB_YEAST,VMA2 VAT2 YBR127C YBR1002,0,1,0,0,0,0,0,cytoplasm
P16370,RPB3_YEAST,RPB3 YIL021W,1,0,0,0,0,0,0,nucleus
P16387,ODPA_YEAST,PDA1 YER178W,0,0,1,0,0,0,0,mitochondrion
P16451,ODPX_YEAST,PDX1 YGR193C G7579,0,0,1,0,0,0,0,mitochondrion
P16467,PDC5_YEAST,PDC5 YLR134W L3133 L9606.7,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P16474,BIP_YEAST,KAR2 GRP78 SSD1 YJL034W J1248,1,1,0,0,1,0,0,"nucleus,cytoplasm,endoplasmic_reticulum"
P16521,EF3A_YEAST,YEF3 EFC1 TEF3 YEF3A YLR249W L9672.5,0,0,0,0,0,0,0,
P16522,CDC23_YEAST,CDC23 YHR166C,0,0,0,0,0,0,0,
P16550,APA1_YEAST,APA1 DTP YCL050C YCL50C,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P16603,NCPR_YEAST,NCP1 CPR1 NCPR1 PRD1 YHR042W,0,0,1,1,0,0,0,"mitochondrion,plasma_membrane"
P16622,HEMH_YEAST,HEM15 YOR176W,0,0,1,0,0,0,0,mitochondrion
P16649,TUP1_YEAST,TUP1 AAR1 AER2 AMM1 CYC9 FLK1 SFL2 UMR7 YCR084C YCR84C,1,0,0,0,0,0,0,nucleus
P16658,SEN2_YEAST,SEN2 YLR105C L8004.12,0,1,1,0,0,0,0,"cytoplasm,mitochondrion"
P16661,ALG1_YEAST,ALG1 YBR110W YBR0906,0,0,0,0,1,0,0,endoplasmic_reticulum
P16664,RGP1_YEAST,RGP1 YDR137W YD9302.13,0,0,0,0,0,1,0,golgi_apparatus
P16861,PFKA1_YEAST,PFK1 YGR240C G8599,0,1,1,0,0,0,0,"cytoplasm,mitochondrion"
P16862,PFKA2_YEAST,PFK2 YMR205C YM8325.06C,0,1,1,0,0,0,0,"cytoplasm,mitochondrion"
P16892,FUS3_YEAST,FUS3 DAC2 YBL016W YBL03.21 YBL0303,1,1,1,0,0,0,0,"nucleus,cytoplasm,mitochondrion"
P17064,FCY2_YEAST,FCY2 YER056C,0,0,0,1,0,0,0,plasma_membrane
P17065,SEC2_YEAST,SEC2 YNL272C N0641,0,0,0,0,0,0,0,
P17076,RL8A_YEAST,RPL8A MAK7 RPL4A YHL033C,0,0,0,0,0,0,0,
P17106,CBF1_YEAST,CBF1 CEP1 CP1 CPF1 YJR060W J1730,1,0,1,0,0,0,0,"nucleus,mitochondrion"
P17119,KAR3_YEAST,KAR3 YPR141C P9659.16,1,0,0,0,0,0,0,nucleus
P17157,PHO85_YEAST,PHO85 SSG3 YPL031C P7102.18A,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P17214,EST1_YEAST,EST1 YLR233C L8083.15,1,0,0,0,0,0,0,nucleus
P17255,VATA_YEAST,VMA1 CLS8 TFP1 YDL185W D1286,0,0,0,0,0,0,0,
P17260,KRE1_YEAST,KRE1 YNL322C N0336,0,0,0,1,0,0,1,"plasma_membrane,vacuole"
P17423,KHSE_YEAST,THR1 YHR025W,0,0,0,0,0,0,0,
P17442,PHO81_YEAST,PHO81 YGR233C G8567,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P17505,MDHM_YEAST,MDH1 YKL085W,0,1,1,0,0,0,0,"cytoplasm,mitochondrion"
P17536,TPM1_YEAST,TPM1 YNL079C N2332,0,0,0,0,0,0,0,
P17555,CAP_YEAST,SRV2 CAP1 YNL138W N1210 N1838,0,1,0,0,0,0,0,cytoplasm
P17558,RTPT_YEAST,PET123 YOR158W,0,0,1,0,0,0,0,mitochondrion
P17629,HPR1_YEAST,HPR1 YDR138W YD9302.14,0,0,0,0,0,0,0,
P17649,GABAT_YEAST,UGA1 YGR019W,0,0,1,0,0,0,0,mitochondrion
P17695,GLRX2_YEAST,GRX2 TTR TTR1 YDR513W D9719.17,1,1,1,0,0,0,0,"nucleus,cytoplasm,mitochondrion"
P17709,HXKG_YEAST,GLK1 HOR3 YCL040W YCL312 YCL40W,0,0,1,1,0,0,0,"mitochondrion,plasma_membrane"
P17883,SKI3_YEAST,SKI3 YPR189W P9677.7,1,0,0,0,0,0,0,nucleus
P17890,RPC7_YEAST,RPC31 ACP2 RPC8 YNL151C N1769,1,0,0,0,0,0,0,nucleus
P17891,CLC1_YEAST,CLC1 YGR167W,0,0,0,1,0,0,0,plasma_membrane
P17898,CPT1_YEAST,CPT1 YNL130C N1218 N1867,0,0,0,0,1,1,0,"endoplasmic_reticulum,golgi_apparatus"
P17967,PDI_YEAST,PDI1 MFP1 TRG1 YCL043C YCL313 YCL43C,0,0,0,0,1,0,0,endoplasmic_reticulum
P18238,ADT3_YEAST,AAC3 YBR085W YBR0753,0,0,1,0,0,0,0,mitochondrion
P18239,ADT2_YEAST,PET9 AAC2 YBL030C YBL0421,0,0,1,0,0,0,0,mitochondrion
P18409,MDM10_YEAST,MDM10 YAL010C FUN37,0,0,0,0,0,0,0,
P18410,SPO7_YEAST,SPO7 YAL009W,0,0,0,0,1,0,0,endoplasmic_reticulum
P18412,TEC1_YEAST,TEC1 ROC1 YBR083W YBR0750,1,0,0,0,0,0,0,nucleus
P18480,SNF5_YEAST,SNF5 SWI10 TYE4 YBR289W YBR2036,1,0,0,0,0,0,0,nucleus
P18562,UPP_YEAST,FUR1 YHR128W,0,1,0,0,0,0,0,cytoplasm
P18759,SEC18_YEAST,SEC18 YBR080C YBR0736,0,0,0,0,0,1,0,golgi_apparatus
P18851,GBB_YEAST,STE4 YOR212W YOR50-2,0,1,0,1,0,0,0,"cytoplasm,plasma_membrane"
P18852,GBG_YEAST,STE18 YJR086W J1866,0,1,0,1,0,0,0,"cytoplasm,plasma_membrane"
P18888,SNF6_YEAST,SNF6 YHL025W,1,0,0,0,0,0,0,nucleus
P18898,PGTB1_YEAST,CDC43 CAL1 YGL155W G1864,0,1,0,0,0,0,0,cytoplasm
P18899,DDR48_YEAST,DDR48 FSP YMR173W YM8010.03,0,1,0,0,0,0,0,cytoplasm
P18961,YPK2_YEAST,YPK2 YKR2 YMR104C YM9718.03C,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P19073,CDC42_YEAST,CDC42 SRO2 YLR229C L8083.13,0,0,0,1,0,0,0,plasma_membrane
P19097,FAS2_YEAST,FAS2 YPL231W P1409,0,0,1,0,0,0,0,mitochondrion
P19145,GAP1_YEAST,GAP1 YKR039W,0,0,0,1,1,0,0,"plasma_membrane,endoplasmic_reticulum"
P19146,ARF2_YEAST,ARF2 YDL137W D2165,0,1,0,1,0,1,0,"cytoplasm,plasma_membrane,golgi_apparatus"
P19211,IF5A2_YEAST,ANB1 HYP1 TIF51B YJR047C J1651,0,0,0,0,0,0,0,
P19262,ODO2_YEAST,KGD2 YDR148C YD8358.05C,0,0,1,0,0,0,0,mitochondrion
P19263,MED14_YEAST,RGR1 MED14 YLR071C,1,0,0,0,0,0,0,nucleus
P19358,METK2_YEAST,SAM2 ETH2 YDR502C D9719.8,0,0,0,0,0,0,0,
P19414,ACON_YEAST,ACO1 GLU1 YLR304C L8003.22,0,0,1,0,0,0,0,mitochondrion
P19454,CSK22_YEAST,CKA2 YOR061W YOR29-12,1,0,0,0,0,0,0,nucleus
P19516,COX11_YEAST,COX11 PSO7 YPL132W LPI13W,0,0,1,0,0,0,0,mitochondrion
P19524,MYO2_YEAST,MYO2 CDC66 YOR326W O6167,0,1,0,0,0,0,0,cytoplasm
P19541,RDS2_YEAST,RDS2 YPL133C LPI12C,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P19657,PMA2_YEAST,PMA2 YPL036W,0,0,1,1,0,0,0,"mitochondrion,plasma_membrane"
P19658,EXO70_YEAST,EXO70 YJL085W J0932,0,1,0,1,0,0,0,"cytoplasm,plasma_membrane"
P19659,MED15_YEAST,GAL11 ABE1 MED15 RAR3 SDS4 SPT13 YOL051W,1,0,0,0,0,0,0,nucleus
P19735,PRP6_YEAST,PRP6 RNA6 YBR055C YBR0508,1,0,0,0,0,0,0,nucleus
P19736,PRP9_YEAST,PRP9 YDL030W D2773,1,0,0,0,0,0,0,nucleus
P19807,HNM1_YEAST,HNM1 CTR CTR1 YGL077C,0,0,0,1,1,0,0,"plasma_membrane,endoplasmic_reticulum"
P19812,UBR1_YEAST,UBR1 PTR1 YGR184C G7168,0,1,0,0,0,0,0,cytoplasm
P19880,AP1_YEAST,YAP1 PAR1 PDR4 SNQ3 YML007W YM9571.12,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P19882,HSP60_YEAST,HSP60 MIF4 YLR259C L8479.10,0,0,1,0,0,0,0,mitochondrion
P19955,KGD4_YEAST,YMR31 KGD4 YFR049W,0,0,1,0,0,0,0,mitochondrion
P20050,HOP1_YEAST,HOP1 YIL072W,1,0,0,0,0,0,0,nucleus
P20052,PHO80_YEAST,PHO80 AGS3 TUP7 VAC5 YOL001W O2505 UNB293,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P20053,PRP4_YEAST,PRP4 RNA4 YPR178W P9705.6,1,0,0,0,0,0,0,nucleus
P20081,FKBP_YEAST,FPR1 FKB1 RBP1 YNL135C N1213 N1845,1,1,1,0,0,0,0,"nucleus,cytoplasm,mitochondrion"
P20095,PRP2_YEAST,PRP2 RNA2 YNR011C N2048,0,0,0,0,0,0,0,
P20107,ZRC1_YEAST,ZRC1 YMR243C YM9408.05C,0,0,0,0,0,0,1,vacuole
P20133,PGTB2_YEAST,BET2 YPR176C P9705.12,0,0,0,0,0,0,0,
P20134,SFL1_YEAST,SFL1 YOR140W YOR3339W,1,0,0,0,0,0,0,nucleus
P20424,SRP54_YEAST,SRP54 SRH1 YPR088C P9513.14,0,0,0,0,1,0,0,endoplasmic_reticulum
P20433,RPB4_YEAST,RPB4 YJL140W J0654,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P20434,RPAB1_YEAST,RPB5 RPA7 RPC9 YBR154C YBR1204,1,0,0,0,0,0,0,nucleus
P20435,RPAB2_YEAST,RPO26 RPB6 YPR187W P9677.8,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P20436,RPAB3_YEAST,RPB8 YOR224C YOR50-14,1,0,0,0,0,0,0,nucleus
P20447,DBP3_YEAST,DBP3 YGL078C,0,0,0,0,0,0,0,
P20448,DBP4_YEAST,HCA4 DBP4 ECM24 YJL033W J1250,1,0,0,0,0,0,0,nucleus
P20449,DBP5_YEAST,DBP5 RAT8 YOR046C,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P20457,PRI2_YEAST,PRI2 YKL045W YKL258,1,0,0,0,0,0,0,nucleus
P20459,IF2A_YEAST,SUI2 TIF211 YJR007W J1429,0,1,0,0,0,0,0,cytoplasm
P20484,MAK11_YEAST,MAK11 YKL021C,0,0,0,0,0,0,0,
P20485,KICH_YEAST,CKI1 CKI YLR133W L3130 L9606.8,0,1,0,0,0,0,0,cytoplasm
P20486,CKS1_YEAST,CKS1 YBR135W YBR1011,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P20604,PP11_YEAST,SIT4 PPH1 YDL047W D2693,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P20606,SAR1_YEAST,SAR1 YPL218W,0,0,1,0,1,0,0,"mitochondrion,endoplasmic_reticulum"
P20676,NUP1_YEAST,NUP1 YOR098C YOR3182C,0,0,0,0,0,0,0,
P20795,VPS33_YEAST,VPS33 SLP1 VAM5 YLR396C L8084.15,0,0,0,0,0,0,1,vacuole
P20840,SAG1_YEAST,SAG1 AGAL1 YJR004C J1418,0,0,0,0,0,0,1,vacuole
P20967,ODO1_YEAST,KGD1 OGD1 YIL125W,0,0,1,0,0,0,0,mitochondrion
P21147,ACO1_YEAST,OLE1 YGL055W,0,0,0,0,1,0,0,endoplasmic_reticulum
P21182,DCAM_YEAST,SPE2 YOL052C O1275,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P21190,IME1_YEAST,IME1 YJR094C J1916,1,0,0,0,0,0,0,nucleus
P21192,ACE2_YEAST,ACE2 YLR131C L3123 L9606.10,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P21242,PSA7_YEAST,PRE10 PRC1 PRS1 YOR362C O6650,1,0,0,0,0,0,0,nucleus
P21243,PSA1_YEAST,SCL1 PRC2 PRS2 YGL011C,1,0,1,0,0,0,0,"nucleus,mitochondrion"
P21268,FAR1_YEAST,FAR1 YJL157C J0565,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P21269,CCA1_YEAST,CCA1 TNT1 YER168C,1,0,1,0,0,0,0,"nucleus,mitochondrion"
P21372,PRP5_YEAST,PRP5 RNA5 YBR237W YBR1603,1,0,0,0,0,0,0,nucleus
P21373,UTR1_YEAST,UTR1 YJR049C J1655,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P21374,ISY1_YEAST,ISY1 NTC30 UTR3 YJR050W J1657,0,1,0,0,0,0,0,cytoplasm
P21375,OSM1_YEAST,OSM1 YJR051W J1659,0,1,1,0,1,0,0,"cytoplasm,mitochondrion,endoplasmic_reticulum"
P21524,RIR1_YEAST,RNR1 CRT7 RIR1 SDS12 YER070W,1,1,0,0,0,0,0,"nucleus,cytoplasm"
P21538,REB1_YEAST,REB1 GRF2 YBR049C YBR0502,1,0,0,0,0,0,0,nucleus
P21560,CBP3_YEAST,CBP3 YPL215W P1775,0,0,1,0,0,0,0,mitochondrion
P21576,VPS1_YEAST,VPS1 LAM1 SPO15 YKR001C,0,1,1,0,0,0,0,"cytoplasm,mitochondrion"
P21592,COX10_YEAST,COX10 YPL172C,0,0,1,0,0,0,0,mitochondrion
P21651,RE107_YEAST,REC107 MER2 YJR021C J1462,1,0,0,0,0,0,0,nucleus
P21672,RIR3_YEAST,RNR3 DIN1 YIL066C,0,1,1,0,0,0,0,"cytoplasm,mitochondrion"
P21691,SIR1_YEAST,SIR1 YKR101W,0,0,0,0,0,0,0,
P21734,UBC1_YEAST,UBC1 YDR177W YD9395.10,1,0,0,0,0,0,0,nucleus
