protein1 protein2 experimental database textmining combined_score
4932.Q0065 4932.YMR014W 164 0 0 163
4932.Q0065 4932.Q0045 0 540 0 540
4932.Q0065 4932.Q0105 170 540 266 695
4932.Q0065 4932.YIL157C 0 0 164 163
4932.Q0065 4932.YGL191W 489 540 67 761
4932.Q0065 4932.YGL226W 158 540 118 628
4932.Q0065 4932.YLR395C 499 690 0 837
4932.Q0065 4932.YOR065W 403 718 193 852
4932.Q0065 4932.Q0120 170 0 166 278
4932.Q0065 4932.YEL024W 402 540 203 761
4932.Q0065 4932.Q0275 497 718 286 890
4932.Q0065 4932.YGL187C 614 690 152 889
4932.Q0065 4932.Q0110 152 0 116 218
4932.Q0065 4932.YEL039C 160 335 0 417
4932.Q0065 4932.YML043C 207 0 0 207
4932.Q0065 4932.YPL172C 0 0 222 222
4932.Q0070 4932.YHR051W 484 690 163 854
4932.Q0070 4932.YPR191W 402 540 280 784
4932.Q0070 4932.YNL052W 158 540 118 628
4932.Q0070 4932.YKL192C 207 0 0 207
4932.Q0070 4932.YDL067C 0 540 0 540
4932.Q0070 4932.YDR119W-A 0 540 0 540
4932.Q0070 4932.YHR024C 145 0 78 177
4932.Q0070 4932.YMR256C 0 540 64 551
4932.Q0070 4932.YFR033C 0 540 0 540
4932.Q0070 4932.YGR183C 403 540 0 713
4932.Q0070 4932.YDR529C 355 540 0 690
4932.Q0070 4932.YMR244C-A 186 360 0 456
4932.Q0070 4932.Q0065 0 540 0 540
4932.Q0070 4932.YIL111W 158 540 118 628
4932.Q0070 4932.Q0275 497 718 286 890
4932.Q0070 4932.YGL187C 614 690 152 889
4932.Q0070 4932.Q0110 152 0 116 218
4932.Q0070 4932.YEL039C 160 335 0 417
4932.Q0070 4932.Q0120 170 0 166 278
4932.Q0070 4932.YGL226W 158 540 118 628
4932.Q0070 4932.YLR395C 499 690 0 837
4932.Q0070 4932.Q0045 0 540 0 540
4932.Q0070 4932.Q0105 170 540 166 653
4932.Q0070 4932.Q0250 500 718 286 890
4932.Q0070 4932.YJR048W 160 335 0 417
